location_id,location_name
1,Global
44637,Low SDI
44636,Low-middle SDI
44639,Middle SDI
44634,High-middle SDI
44635,High SDI
31,"Central Europe, Eastern Europe, and Central Asia"
32,Central Asia
33,Armenia
34,Azerbaijan
35,Georgia
36,Kazakhstan
37,Kyrgyzstan
38,Mongolia
39,Tajikistan
40,Turkmenistan
41,Uzbekistan
42,Central Europe
43,Albania
44,Bosnia and Herzegovina
45,Bulgaria
46,Croatia
47,Czech Republic
48,Hungary
49,Macedonia
50,Montenegro
51,Poland
52,Romania
53,Serbia
54,Slovakia
55,Slovenia
56,Eastern Europe
57,Belarus
58,Estonia
59,Latvia
60,Lithuania
61,Moldova
62,Russian Federation
63,Ukraine
64,High-income
70,Australasia
71,Australia
72,New Zealand
65,High-income Asia Pacific
66,Brunei
67,Japan
68,South Korea
69,Singapore
100,High-income North America
101,Canada
349,Greenland
102,United States
96,Southern Latin America
97,Argentina
98,Chile
99,Uruguay
73,Western Europe
74,Andorra
75,Austria
76,Belgium
77,Cyprus
78,Denmark
79,Finland
80,France
81,Germany
82,Greece
83,Iceland
84,Ireland
85,Israel
86,Italy
87,Luxembourg
88,Malta
89,Netherlands
90,Norway
91,Portugal
92,Spain
93,Sweden
4944,Stockholm
4940,Sweden except Stockholm
94,Switzerland
95,United Kingdom
103,Latin America and Caribbean
120,Andean Latin America
121,Bolivia
122,Ecuador
123,Peru
104,Caribbean
105,Antigua and Barbuda
106,The Bahamas
107,Barbados
108,Belize
305,Bermuda
109,Cuba
110,Dominica
111,Dominican Republic
112,Grenada
113,Guyana
114,Haiti
115,Jamaica
385,Puerto Rico
116,Saint Lucia
117,Saint Vincent and the Grenadines
118,Suriname
119,Trinidad and Tobago
422,"Virgin Islands, U.S."
124,Central Latin America
125,Colombia
126,Costa Rica
127,El Salvador
128,Guatemala
129,Honduras
130,Mexico
4643,Aguascalientes
4644,Baja California
4645,Baja California Sur
4646,Campeche
4649,Chiapas
4650,Chihuahua
4647,Coahuila
4648,Colima
4652,Durango
