"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36295.7911358843","","",
"Afghanistan","AFG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2229.65797849241","","",
"Angola","AGO","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3673.61321319591","3882.75045002054","4638.49904424455","4662.81614274649","4907.24485455975","5365.87996536934","5646.01158521783","6329.90108185113","6460.90299581064","6966.94745703022","6913.16058919127","6887.00376292732","7282.04967853343","7478.85625166722","7704.36784021673","7652.1524907853","7189.03157629765","6861.58057100229","6360.55108485661","",
"Albania","ALB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13071.0954418489","","",
"Andorra","AND","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11112.8981002964","11119.1173046436","10903.073371243","11400.6108014893","11932.9268625375","12250.6452857385","12686.3538615333","13121.9956276711","13541.7862416685","13302.7583887488","13520.445350114","14018.9152851854","14277.5932787895","14437.6353612213","14619.3097892886","14952.6906107251","15115.5400034184","14975.6215074801","14990.3649909387","",
"United Arab Emirates","ARE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103519.147712704","96736.7030984689","97761.5109830955","98236.2466120715","92443.4959486741","88502.4788592818","79459.3660847138","69814.6215200589","59017.2312457133","54911.2866214816","56152.9747378721","57447.3509046824","60007.280901947","62499.7978401959","65528.5625787455","66881.30334239","67667.5298560295","67195.1440715737","67462.0953049371",
"Argentina","ARG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13596.8062069548","14803.0429039736","15939.6928216681","17131.573059197","17873.6870714408","17090.6655397754","17781.6970674247","18983.3819257201","19425.8233271621","18534.5828668035","18179.2791355489","17152.1853038809","14726.8964186646","16056.1720229377","16057.5047475958","17269.9450510157","20124.484701631","21866.988111076","22550.9902142041","20877.3764365549","22727.0260391932","23946.7935434681","23516.3215560959","23851.865624882","23047.6296785561","23466.3217668352","22696.693944972","22962.352260915","21917.8545783213","21190.176611877",
"Armenia","ARM","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2742.73480038056","3110.94803536389","3336.1852318518","3599.99838075858","3780.68861045456","3925.64502869238","4180.31891713972","4604.45865478312","5267.56136466792","6035.16043158419","6758.18905743626","7752.69072222794","8888.53609508811","10271.5547606766","11137.3526615445","9434.91525560861","9752.82995852475","10078.3554253758","10830.6574704165","11353.0497490044","11519.5533969946","11774.0276326756","11570.2384818396","12543.1901631056","12895.0629205587","13894.013019589",
"American Samoa","ASM","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
