ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
AFG,Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,235.10","8,597.26","8,329.72","8,999.55","9,197.00","10,037.91","10,166.97","11,948.89","12,597.83","13,005.25","14,344.61","14,665.42","14,589.07","14,305.84","14,227.64","14,247.51","14,433.15","14,666.64","14,975.71","15,361.26","15,835.46","16,405.41","17,079.84",2016
AFG,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,026.92","1,072.08","1,038.72","1,122.25","1,146.87","1,251.73","1,267.82","1,490.03","1,570.95","1,621.76","1,788.78","1,828.78","1,819.26","1,783.94","1,774.19","1,776.67","1,799.82","1,828.93","1,867.47","1,915.55","1,974.69","2,045.76","2,129.86",2016
ALB,Albania,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","106,884.08","77,421.84","72,284.50","79,708.68","87,738.26","96,138.99","105,541.55","94,601.80","103,604.50","117,702.98","126,683.82","138,483.63","145,200.81","153,802.80","162,964.38","172,852.94","184,214.30","196,717.32","213,100.25","221,737.48","231,101.54","237,622.40","241,389.08","244,254.87","249,104.37","255,373.96","264,261.27","274,359.81","285,683.22","294,674.14","307,015.48","319,772.15","333,140.80","347,048.16","361,520.49",2018
ALB,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,430.50","3,209.25","2,996.30","3,304.04","3,636.88","3,985.10","4,374.85","3,921.38","4,294.56","4,878.96","5,251.23","5,740.35","6,018.79","6,375.35","6,755.11","7,165.01","7,635.95","8,154.22","8,833.32","9,191.34","9,579.50","9,849.80","10,005.93","10,124.72","10,325.74","10,585.62","10,954.02","11,372.62","11,841.99","12,214.67","12,726.24","13,255.02","13,809.17","14,385.65","14,985.55",2018
DZA,Algeria,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","137,265.75","132,334.26","131,237.59","125,502.13","121,649.58","123,791.08","126,219.06","125,503.01","129,835.34","131,942.10","134,527.09","136,557.47","142,093.08","150,073.68","154,200.66","160,868.03","161,145.09","164,085.89","164,399.41","163,875.51","166,450.51","167,704.83","169,793.81","170,892.73","173,681.46","176,281.35","178,033.18","176,522.01","175,390.59","176,417.22","177,329.23","177,246.25","176,768.04","175,636.67","174,284.90",2017
DZA,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,662.27","10,279.21","10,194.02","9,748.52","9,449.27","9,615.61","9,804.20","9,748.58","10,085.10","10,248.75","10,449.54","10,607.25","11,037.24","11,657.14","11,977.71","12,495.60","12,517.12","12,745.55","12,769.90","12,729.21","12,929.23","13,026.66","13,188.92","13,274.28","13,490.90","13,692.85","13,828.92","13,711.54","13,623.66","13,703.40","13,774.24","13,767.80","13,730.65","13,642.77","13,537.77",2017
AGO,Angola,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","22,015.86","21,586.52","23,347.53","25,153.95","26,988.15","28,917.56","31,221.90","32,517.54","33,051.45","32,788.80","32,806.18","33,190.30","36,627.17","36,623.54","39,451.40","44,058.75","47,715.06","52,815.54","57,002.85","55,817.72","56,825.27","57,085.66","60,157.28","61,298.87","62,383.57","61,131.26","57,774.09","55,911.65","53,591.04","51,892.50","50,961.73","50,899.63","51,061.87","51,619.63","52,011.94",2017
AGO,Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,501.02","2,452.25","2,652.30","2,857.51","3,065.88","3,285.06","3,546.83","3,694.02","3,754.67","3,724.83","3,726.81","3,770.44","4,160.87","4,160.46","4,481.71","5,005.11","5,420.47","5,999.89","6,475.57","6,340.94","6,455.39","6,484.97","6,833.91","6,963.60","7,086.82","6,944.56","6,563.18","6,351.61","6,087.98","5,895.03","5,789.29","5,782.24","5,800.67","5,864.03","5,908.60",2017
ATG,Antigua and Barbuda,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","27,739.62","28,113.69","27,981.14","28,807.34","29,953.89","27,894.01","28,933.74","29,677.27","30,254.58","30,619.22","31,992.08","29,897.38","29,882.17","31,355.18","32,801.08","34,533.02","38,514.33","41,632.78","41,177.37","35,806.70","32,742.43","31,759.56","32,481.20","31,942.59","32,802.60","33,694.66","35,169.11","35,889.27","38,131.10","39,245.96","40,118.09","40,687.21","41,059.36","41,434.92","41,813.91",2011
ATG,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,108.36","18,352.55","18,266.02","18,805.37","19,553.83","18,209.14","18,887.88","19,373.25","19,750.12","19,988.15","20,884.35","19,516.94","19,507.01","20,468.59","21,412.47","22,543.07","25,142.07","27,177.78","26,880.49","23,374.53","21,374.18","20,732.57","21,203.65","20,852.05","21,413.46","21,995.80","22,958.31","23,428.43","24,891.89","25,619.67","26,189.00","26,560.52","26,803.46","27,048.62","27,296.02",2011
