"location_name","year","gni"
"African Union",2015,2080.19993359213
"African Union",2019,1843.13576406972
"Algeria",2015,4850
"Algeria",2019,3970
"Angola",2015,4520
"Angola",2019,3050
"Benin",2015,1180
"Benin",2019,1250
"Botswana",2015,6840
"Botswana",2019,7660
"Burkina Faso",2015,700
"Burkina Faso",2019,790
"Burundi",2015,260
"Burundi",2019,280
"Cameroon",2015,1440
"Cameroon",2019,1500
"Cape Verde",2015,3210
"Cape Verde",2019,3630
"Central Africa",2015,921.487770184751
"Central Africa",2019,876.972962113989
"Central African Republic",2015,400
"Central African Republic",2019,520
"Chad",2015,880
"Chad",2019,700
"Comoros",2015,1380
"Comoros",2019,1420
"Congo",2015,2420
"Congo",2019,1750
"Cote d'Ivoire",2015,1660
"Cote d'Ivoire",2019,2290
"Democratic Republic of the Congo",2015,460
"Democratic Republic of the Congo",2019,520
"Djibouti",2015,2730
"Djibouti",2019,3540
"Eastern Africa",2015,977.827191593917
"Eastern Africa",2019,1011.44738328284
"Egypt",2015,3360
"Egypt",2019,2690
"Equatorial Guinea",2015,10850
"Equatorial Guinea",2019,6460
"Eritrea",2015,624.059980077639
"Eritrea",2019,552.940729220917
"Ethiopia",2015,600
"Ethiopia",2019,850
"Gabon",2015,7970
"Gabon",2019,7210
"Ghana",2015,1940
"Ghana",2019,2220
"Guinea",2015,760
"Guinea",2019,950
"Guinea-Bissau",2015,640
"Guinea-Bissau",2019,820
"Kenya",2015,1290
"Kenya",2019,1750
"Lesotho",2015,1340
"Lesotho",2019,1360
"Liberia",2015,630
"Liberia",2019,580
"Libya",2015,5690
"Libya",2019,7640
"Madagascar",2015,490
"Madagascar",2019,520
"Malawi",2015,350
"Malawi",2019,380
"Mali",2015,800
"Mali",2019,880
"Mauritania",2015,1640
"Mauritania",2019,1660
"Mauritius",2015,10700
"Mauritius",2019,12740
"Morocco",2015,3020
"Morocco",2019,3190
"Mozambique",2015,640
"Mozambique",2019,480
"Namibia",2015,5290
"Namibia",2019,5060
"Niger",2015,520
"Niger",2019,560
"Nigeria",2015,2880
"Nigeria",2019,2030
"Northern Africa",2015,3689.54444858443
"Northern Africa",2019,3232.43636099194
"Rwanda",2015,750
"Rwanda",2019,820
"Sao Tome and Principe",2015,1660
"Sao Tome and Principe",2019,1960
"Senegal",2015,1320
"Senegal",2019,1450
"Seychelles",2015,14020
"Seychelles",2019,16870
"Sierra Leone",2015,550
"Sierra Leone",2019,500
"Somalia",2015,416.039986718426
"Somalia",2019,368.627152813945
"South Africa",2015,6050
"South Africa",2019,6040
"South Sudan",2015,1040.09996679606
"South Sudan",2019,921.567882034862
"Southern Africa",2015,3413.38036058531
"Southern Africa",2019,3089.35919727753
"Sudan",2015,1690
"Sudan",2019,590
"Swaziland",2015,4000
"Swaziland",2019,3590
"Tanzania",2015,980
"Tanzania",2019,1080
"The Gambia",2015,620
"The Gambia",2019,740
"Togo",2015,640
"Togo",2019,690
"Tunisia",2015,3960
"Tunisia",2019,3360
"Uganda",2015,830
"Uganda",2019,780
"United States",2015,56740
"Western Africa",2015,2034.24849653821
"Western Africa",2019,1677.27377649926
"Zambia",2015,1580
"Zambia",2019,1450
"Zimbabwe",2015,1280
"Zimbabwe",2019,1390
